aX,aY
25,60
25,58
23,59
26,61
26,59
23,54
26,58
24,60
24,63
25,63
27,61
24,62
25,63
31,62
22,62
25,61
26,59
23,65
26,63
27,59
19,56
19,55
27,66
25,63
20,58
25,63
23,62
27,62
29,62
27,60
23,56
27,57
28,55
27,54
28,56
31,51
33,58
32,57
28,59
32,55
32,56
31,58
32,57
29,57
23,52
29,56
29,59
22,54
25,56
29,56
25,65
28,67
30,66
30,60
27,59
30,60
29,59
28,58
27,56
20,48
18,50
24,58
27,60
25,52
27,56
24,60
26,62
27,59
26,58
26,59
25,60
22,60
19,52
27,57
25,58
20,51
17,51
25,53
25,53
25,54
24,51
27,52
27,54
26,53
20,45
26,52
21,52
25,56
20,48
26,55
19,49
18,50
25,54
22,52
27,51
23,52
26,53
24,54
20,47
19,62
25,57
26,59
25,52
26,55
20,49
25,51
24,56
19,55
25,58
20,59
23,58
24,59
25,62
25,64
17,57
26,66
25,59
25,61
26,64
25,58
26,63
19,60
26,66
20,68
22,68
27,69
21,57
26,59
19,55
27,63
25,55
24,56
25,59
26,62
24,61
21,56
26,57
19,57
26,64
24,64
25,64
23,62
23,59
23,66
32,58
21,53
21,51
17,55
22,64
20,67
27,68
28,66
30,66
28,68
30,70
27,62
21,57
29,64
21,55
27,66
28,68
17,61
26,64
29,67
28,65
27,61
26,68
26,71
25,72
28,69
28,69
18,59
23,65
23,63
27,65
25,65
27,67
27,66
27,69
24,65
23,62
20,61
24,66
20,59
26,66
28,69
27,66
26,63
27,68
22,63
30,62
26,61
27,59
27,58
21,59
22,59
25,64
27,61
26,64
26,66
26,60
27,60
20,59
25,66
26,65
26,62
28,67
23,68
26,66
25,65
27,63
19,53
25,59
21,52
25,57
20,50
27,59
27,61
19,54
19,65
22,55
27,59
24,59
27,60
26,58
25,61
26,60
26,60
20,59
14,53
21,53
26,60
26,60
23,61
25,57
23,61
25,65
23,61
27,65
25,62
25,59
20,62
19,57
24,60
26,58
25,59
19,58
27,66
25,66
29,62
29,60
25,64
29,63
30,63
24,61
28,63
26,64
20,59
28,62
27,60
26,60
29,60
23,60
26,64
24,57
22,57
31,64
31,63
23,65
25,63
21,58
25,62
20,64
21,64
24,59
25,61
20,64
27,63
21,59
26,66
26,72
23,70
24,71
20,65
27,66
20,60
25,66
26,62
26,72
23,68
25,70
25,65
25,68
21,60
26,60
25,62
20,60
24,65
20,60
24,53
26,59
21,59
26,67
19,61
24,65
25,60
25,62
23,63
28,65
23,56
19,59
18,61
18,61
23,59
26,64
27,65
26,69
21,64
23,64
24,62
19,55
28,60
25,63
27,61
25,57
25,63
23,61
24,62
25,60
21,55
26,62
26,65
23,61
21,55
26,69
25,68
20,62
28,69
26,66
25,68
18,59
25,62
24,60
24,58
28,62
24,61
22,58
24,60
23,58
26,61
25,56
17,57
22,57
25,60
26,59
25,62
23,61
26,60
25,59
