aX,aY
548,184
553,253
541,477
540,573
550,590
568,471
572,403
573,350
558,295
556,254
546,211
540,178
528,150
527,157
519,164
514,167
509,167
497,179
495,229
486,283
471,331
445,361
419,371
392,372
368,364
335,332
294,285
260,240
238,204
208,185
181,198
158,235
139,304
125,382
118,435
108,416
106,387
103,350
103,317
100,278
91,223
106,225
115,218
117,222
131,200
146,175
166,158
180,148
191,162
201,190
194,214
196,238
190,247
176,239
160,218
147,191
130,160
113,138
104,134
94,144
84,159
74,170
65,184
60,198
51,209
52,231
46,232
45,238
38,224
39,215
49,210
56,201
59,191
64,181
70,167
74,155
75,135
74,122
72,109
69,102
67,98
71,91
69,84
82,79
87,76
92,77
99,78
104,75
106,71
110,69
108,73
107,73
112,81
104,67
109,67
102,67
99,65
93,70
83,76
81,71
79,72
71,68
71,71
71,81
68,89
65,103
67,125
65,139
53,141
47,146
54,145
61,139
69,138
84,138
90,140
104,140
108,131
123,129
125,111
140,106
146,96
151,92
147,85
152,99
150,114
145,121
141,127
130,128
116,134
107,132
103,138
100,154
90,170
80,174
74,184
64,188
54,192
43,187
40,189
41,188
38,180
36,175
33,169
33,176
34,168
28,144
28,133
35,123
36,113
27,99
32,95
33,91
40,91
48,91
59,81
75,80
95,87
110,88
125,91
138,93
155,93
172,84
204,103
234,111
259,112
285,122
299,132
308,139
315,150
312,151
294,144
284,141
264,134
245,117
231,118
216,115
192,105
182,103
174,96
165,98
151,95
145,87
128,80
125,84
113,80
104,72
91,77
81,79
69,71
64,77
52,70
52,81
40,80
40,77
40,74
37,72
28,60
24,60
29,67
31,66
28,63
24,57
28,62
28,61
28,68
29,65
33,64
26,58
29,62
32,64
41,58
45,60
57,65
60,69
65,65
71,64
74,63
73,66
83,65
83,68
91,66
94,72
95,68
92,72
94,74
92,74
88,72
93,75
89,79
87,76
89,72
89,76
84,72
85,72
75,72
87,71
86,67
87,67
81,68
76,63
72,61
79,64
75,64
69,65
67,63
64,66
61,69
55,64
54,71
57,72
50,71
59,72
56,74
58,73
58,63
61,66
62,66
62,66
64,66
62,66
62,63
65,69
61,70
60,72
59,71
59,70
50,64
52,71
51,69
48,68
49,67
47,64
46,66
45,65
45,67
40,60
41,69
35,69
36,71
27,66
30,76
30,80
30,79
28,76
28,71
30,76
27,73
25,68
22,69
25,65
19,58
19,57
26,65
24,63
27,61
26,65
24,72
25,73
22,72
26,77
26,81
25,77
25,73
31,74
25,67
26,67
27,68
25,64
24,63
22,64
24,66
23,64
26,70
23,66
27,73
25,67
25,67
26,63
21,64
27,67
23,67
25,67
23,65
25,69
24,68
23,70
25,71
20,69
19,63
27,67
25,66
25,67
